asm|cpu|synth|const|ops
adc a', b|r3k|_||76;88
adc a', b|r3k_strict|_||76;88
adc a', b|r4k|_||76;7F;88
adc a', b|r4k_strict|_||76;7F;88
adc a', b|r5k|_||76;7F;88
adc a', b|r5k_strict|_||76;7F;88
adc a', b|r6k|_||76;7F;88
adc a', b|r6k_strict|_||76;7F;88
adc a', b'|r6k|_||64;7F;88
adc a', b'|r6k_strict|_||64;7F;88
adc a', c|r2ka|_||76;89
adc a', c|r2ka_strict|_||76;89
adc a', c|r3k|_||76;89
adc a', c|r3k_strict|_||76;89
adc a', c|r4k|_||76;7F;89
adc a', c|r4k_strict|_||76;7F;89
adc a', c|r5k|_||76;7F;89
adc a', c|r5k_strict|_||76;7F;89
adc a', c|r6k|_||76;7F;89
adc a', c|r6k_strict|_||76;7F;89
adc a', c'|r6k|_||64;7F;89
adc a', c'|r6k_strict|_||64;7F;89
adc a', d|r2ka|_||76;8A
adc a', d|r2ka_strict|_||76;8A
adc a', d|r3k|_||76;8A
adc a', d|r3k_strict|_||76;8A
adc a', d|r4k|_||76;7F;8A
adc a', d|r4k_strict|_||76;7F;8A
adc a', d|r5k|_||76;7F;8A
adc a', d|r5k_strict|_||76;7F;8A
adc a', d|r6k|_||76;7F;8A
adc a', d|r6k_strict|_||76;7F;8A
adc a', d'|r6k|_||64;7F;8A
adc a', d'|r6k_strict|_||64;7F;8A
adc a', e|r2ka|_||76;8B
adc a', e|r2ka_strict|_||76;8B
adc a', e|r3k|_||76;8B
adc a', e|r3k_strict|_||76;8B
adc a', e|r4k|_||76;7F;8B
adc a', e|r4k_strict|_||76;7F;8B
adc a', e|r5k|_||76;7F;8B
adc a', e|r5k_strict|_||76;7F;8B
adc a', e|r6k|_||76;7F;8B
adc a', e|r6k_strict|_||76;7F;8B
adc a', e'|r6k|_||64;7F;8B
adc a', e'|r6k_strict|_||64;7F;8B
adc a', h|r2ka|_||76;8C
adc a', h|r2ka_strict|_||76;8C
adc a', h|r3k|_||76;8C
adc a', h|r3k_strict|_||76;8C
adc a', h|r4k|_||76;7F;8C
adc a', h|r4k_strict|_||76;7F;8C
adc a', h|r5k|_||76;7F;8C
adc a', h|r5k_strict|_||76;7F;8C
adc a', h|r6k|_||76;7F;8C
adc a', h|r6k_strict|_||76;7F;8C
adc a', h'|r6k|_||64;7F;8C
adc a', h'|r6k_strict|_||64;7F;8C
adc a', l|r2ka|_||76;8D
adc a', l|r2ka_strict|_||76;8D
adc a', l|r3k|_||76;8D
adc a', l|r3k_strict|_||76;8D
adc a', l|r4k|_||76;7F;8D
adc a', l|r4k_strict|_||76;7F;8D
adc a', l|r5k|_||76;7F;8D
adc a', l|r5k_strict|_||76;7F;8D
adc a', l|r6k|_||76;7F;8D
adc a', l|r6k_strict|_||76;7F;8D
adc a', l'|r6k|_||64;7F;8D
adc a', l'|r6k_strict|_||64;7F;8D
adc a, %n|8080|_||CE %n
adc a, %n|8085|_||CE %n
adc a, %n|ez80|_||CE %n
adc a, %n|ez80_strict|_||CE %n
adc a, %n|ez80_z80|_||CE %n
adc a, %n|ez80_z80_strict|_||CE %n
adc a, %n|gbz80|_||CE %n
adc a, %n|gbz80_strict|_||CE %n
adc a, %n|kc160|_||CE %n
adc a, %n|kc160_strict|_||CE %n
adc a, %n|kc160_z80|_||CE %n
adc a, %n|kc160_z80_strict|_||CE %n
adc a, %n|r2ka|_||CE %n
adc a, %n|r2ka_strict|_||CE %n
adc a, %n|r3k|_||CE %n
adc a, %n|r3k_strict|_||CE %n
adc a, %n|r4k|_||CE %n
adc a, %n|r4k_strict|_||CE %n
adc a, %n|r5k|_||CE %n
adc a, %n|r5k_strict|_||CE %n
adc a, %n|r6k|_||CE %n
adc a, %n|r6k_strict|_||CE %n
adc a, %n|r800|_||CE %n
adc a, %n|r800_strict|_||CE %n
adc a, %n|z180|_||CE %n
adc a, %n|z180_strict|_||CE %n
adc a, %n|z80|_||CE %n
adc a, %n|z80_strict|_||CE %n
adc a, %n|z80n|_||CE %n
adc a, %n|z80n_strict|_||CE %n
adc a, (ahl)|kc160|_||52;8E
adc a, (ahl)|kc160_strict|_||52;8E
adc a, (aix)|kc160|_||52;DD 8E 00
adc a, (aix)|kc160_strict|_||52;DD 8E 00
adc a, (aix+%d)|kc160|_||52;DD 8E %d
adc a, (aix+%d)|kc160_strict|_||52;DD 8E %d
adc a, (aiy)|kc160|_||52;FD 8E 00
adc a, (aiy)|kc160_strict|_||52;FD 8E 00
adc a, (aiy+%d)|kc160|_||52;FD 8E %d
adc a, (aiy+%d)|kc160_strict|_||52;FD 8E %d
adc a, (hl)|8080|_||8E
adc a, (hl)|8085|_||8E
adc a, (hl)|ez80|_||8E
adc a, (hl)|ez80_strict|_||8E
adc a, (hl)|ez80_z80|_||8E
adc a, (hl)|ez80_z80_strict|_||8E
adc a, (hl)|gbz80|_||8E
adc a, (hl)|gbz80_strict|_||8E
adc a, (hl)|kc160|_||8E
adc a, (hl)|kc160_strict|_||8E
adc a, (hl)|kc160_z80|_||8E
adc a, (hl)|kc160_z80_strict|_||8E
adc a, (hl)|r2ka|_||8E
adc a, (hl)|r2ka_strict|_||8E
adc a, (hl)|r3k|_||8E
adc a, (hl)|r3k_strict|_||8E
adc a, (hl)|r4k|_||7F;8E
adc a, (hl)|r4k_strict|_||7F;8E
adc a, (hl)|r5k|_||7F;8E
adc a, (hl)|r5k_strict|_||7F;8E
adc a, (hl)|r6k|_||7F;8E
adc a, (hl)|r6k_strict|_||7F;8E
adc a, (hl)|r800|_||8E
adc a, (hl)|r800_strict|_||8E
adc a, (hl)|z180|_||8E
adc a, (hl)|z180_strict|_||8E
adc a, (hl)|z80|_||8E
adc a, (hl)|z80_strict|_||8E
adc a, (hl)|z80n|_||8E
adc a, (hl)|z80n_strict|_||8E
adc a, (hl+)|8080|X||8E;23
adc a, (hl+)|8085|X||8E;23
adc a, (hl+)|ez80|X||8E;23
adc a, (hl+)|ez80_z80|X||8E;23
adc a, (hl+)|gbz80|X||8E;23
adc a, (hl+)|kc160|X||8E;23
adc a, (hl+)|kc160_z80|X||8E;23
adc a, (hl+)|r2ka|X||8E;23
adc a, (hl+)|r3k|X||8E;23
adc a, (hl+)|r4k|X||7F;8E;23
adc a, (hl+)|r5k|X||7F;8E;23
adc a, (hl+)|r6k|X||7F;8E;23
adc a, (hl+)|r800|X||8E;23
adc a, (hl+)|z180|X||8E;23
adc a, (hl+)|z80|X||8E;23
adc a, (hl+)|z80n|X||8E;23
adc a, (hl-)|8080|X||8E;2B
adc a, (hl-)|8085|X||8E;2B
adc a, (hl-)|ez80|X||8E;2B
adc a, (hl-)|ez80_z80|X||8E;2B
adc a, (hl-)|gbz80|X||8E;2B
adc a, (hl-)|kc160|X||8E;2B
adc a, (hl-)|kc160_z80|X||8E;2B
adc a, (hl-)|r2ka|X||8E;2B
adc a, (hl-)|r3k|X||8E;2B
adc a, (hl-)|r4k|X||7F;8E;2B
adc a, (hl-)|r5k|X||7F;8E;2B
adc a, (hl-)|r6k|X||7F;8E;2B
adc a, (hl-)|r800|X||8E;2B
adc a, (hl-)|z180|X||8E;2B
adc a, (hl-)|z80|X||8E;2B
adc a, (hl-)|z80n|X||8E;2B
adc a, (ix)|ez80|_||DD 8E 00
adc a, (ix)|ez80_strict|_||DD 8E 00
adc a, (ix)|ez80_z80|_||DD 8E 00
adc a, (ix)|ez80_z80_strict|_||DD 8E 00
adc a, (ix)|kc160|_||DD 8E 00
adc a, (ix)|kc160_strict|_||DD 8E 00
adc a, (ix)|kc160_z80|_||DD 8E 00
adc a, (ix)|kc160_z80_strict|_||DD 8E 00
adc a, (ix)|r2ka|_||DD 8E 00
adc a, (ix)|r2ka_strict|_||DD 8E 00
adc a, (ix)|r3k|_||DD 8E 00
adc a, (ix)|r3k_strict|_||DD 8E 00
adc a, (ix)|r4k|_||DD 8E 00
adc a, (ix)|r4k_strict|_||DD 8E 00
adc a, (ix)|r5k|_||DD 8E 00
adc a, (ix)|r5k_strict|_||DD 8E 00
adc a, (ix)|r6k|_||DD 8E 00
adc a, (ix)|r6k_strict|_||DD 8E 00
adc a, (ix)|r800|_||DD 8E 00
adc a, (ix)|r800_strict|_||DD 8E 00
adc a, (ix)|z180|_||DD 8E 00
adc a, (ix)|z180_strict|_||DD 8E 00
adc a, (ix)|z80|_||DD 8E 00
adc a, (ix)|z80_strict|_||DD 8E 00
adc a, (ix)|z80n|_||DD 8E 00
adc a, (ix)|z80n_strict|_||DD 8E 00
adc a, (ix+%d)|ez80|_||DD 8E %d
adc a, (ix+%d)|ez80_strict|_||DD 8E %d
adc a, (ix+%d)|ez80_z80|_||DD 8E %d
adc a, (ix+%d)|ez80_z80_strict|_||DD 8E %d
adc a, (ix+%d)|kc160|_||DD 8E %d
adc a, (ix+%d)|kc160_strict|_||DD 8E %d
adc a, (ix+%d)|kc160_z80|_||DD 8E %d
adc a, (ix+%d)|kc160_z80_strict|_||DD 8E %d
adc a, (ix+%d)|r2ka|_||DD 8E %d
adc a, (ix+%d)|r2ka_strict|_||DD 8E %d
adc a, (ix+%d)|r3k|_||DD 8E %d
adc a, (ix+%d)|r3k_strict|_||DD 8E %d
adc a, (ix+%d)|r4k|_||DD 8E %d
adc a, (ix+%d)|r4k_strict|_||DD 8E %d
adc a, (ix+%d)|r5k|_||DD 8E %d
adc a, (ix+%d)|r5k_strict|_||DD 8E %d
adc a, (ix+%d)|r6k|_||DD 8E %d
adc a, (ix+%d)|r6k_strict|_||DD 8E %d
adc a, (ix+%d)|r800|_||DD 8E %d
adc a, (ix+%d)|r800_strict|_||DD 8E %d
adc a, (ix+%d)|z180|_||DD 8E %d
adc a, (ix+%d)|z180_strict|_||DD 8E %d
adc a, (ix+%d)|z80|_||DD 8E %d
adc a, (ix+%d)|z80_strict|_||DD 8E %d
adc a, (ix+%d)|z80n|_||DD 8E %d
adc a, (ix+%d)|z80n_strict|_||DD 8E %d
adc a, (iy)|ez80|_||FD 8E 00
adc a, (iy)|ez80_strict|_||FD 8E 00
adc a, (iy)|ez80_z80|_||FD 8E 00
adc a, (iy)|ez80_z80_strict|_||FD 8E 00
adc a, (iy)|kc160|_||FD 8E 00
adc a, (iy)|kc160_strict|_||FD 8E 00
adc a, (iy)|kc160_z80|_||FD 8E 00
adc a, (iy)|kc160_z80_strict|_||FD 8E 00
adc a, (iy)|r2ka|_||FD 8E 00
adc a, (iy)|r2ka_strict|_||FD 8E 00
adc a, (iy)|r3k|_||FD 8E 00
adc a, (iy)|r3k_strict|_||FD 8E 00
adc a, (iy)|r4k|_||FD 8E 00
adc a, (iy)|r4k_strict|_||FD 8E 00
adc a, (iy)|r5k|_||FD 8E 00
adc a, (iy)|r5k_strict|_||FD 8E 00
adc a, (iy)|r6k|_||FD 8E 00
adc a, (iy)|r6k_strict|_||FD 8E 00
adc a, (iy)|r800|_||FD 8E 00
adc a, (iy)|r800_strict|_||FD 8E 00
adc a, (iy)|z180|_||FD 8E 00
adc a, (iy)|z180_strict|_||FD 8E 00
adc a, (iy)|z80|_||FD 8E 00
adc a, (iy)|z80_strict|_||FD 8E 00
adc a, (iy)|z80n|_||FD 8E 00
adc a, (iy)|z80n_strict|_||FD 8E 00
adc a, (iy+%d)|ez80|_||FD 8E %d
adc a, (iy+%d)|ez80_strict|_||FD 8E %d
adc a, (iy+%d)|ez80_z80|_||FD 8E %d
adc a, (iy+%d)|ez80_z80_strict|_||FD 8E %d
adc a, (iy+%d)|kc160|_||FD 8E %d
adc a, (iy+%d)|kc160_strict|_||FD 8E %d
adc a, (iy+%d)|kc160_z80|_||FD 8E %d
adc a, (iy+%d)|kc160_z80_strict|_||FD 8E %d
adc a, (iy+%d)|r2ka|_||FD 8E %d
adc a, (iy+%d)|r2ka_strict|_||FD 8E %d
adc a, (iy+%d)|r3k|_||FD 8E %d
adc a, (iy+%d)|r3k_strict|_||FD 8E %d
adc a, (iy+%d)|r4k|_||FD 8E %d
adc a, (iy+%d)|r4k_strict|_||FD 8E %d
adc a, (iy+%d)|r5k|_||FD 8E %d
adc a, (iy+%d)|r5k_strict|_||FD 8E %d
adc a, (iy+%d)|r6k|_||FD 8E %d
adc a, (iy+%d)|r6k_strict|_||FD 8E %d
adc a, (iy+%d)|r800|_||FD 8E %d
adc a, (iy+%d)|r800_strict|_||FD 8E %d
adc a, (iy+%d)|z180|_||FD 8E %d
adc a, (iy+%d)|z180_strict|_||FD 8E %d
adc a, (iy+%d)|z80|_||FD 8E %d
adc a, (iy+%d)|z80_strict|_||FD 8E %d
adc a, (iy+%d)|z80n|_||FD 8E %d
adc a, (iy+%d)|z80n_strict|_||FD 8E %d
adc a, (phl)|kc160|_||5B;8E
adc a, (phl)|kc160_strict|_||5B;8E
adc a, (pix)|kc160|_||5B;DD 8E 00
adc a, (pix)|kc160_strict|_||5B;DD 8E 00
adc a, (pix+%d)|kc160|_||5B;DD 8E %d
adc a, (pix+%d)|kc160_strict|_||5B;DD 8E %d
adc a, (piy)|kc160|_||5B;FD 8E 00
adc a, (piy)|kc160_strict|_||5B;FD 8E 00
adc a, (piy+%d)|kc160|_||5B;FD 8E %d
adc a, (piy+%d)|kc160_strict|_||5B;FD 8E %d
adc a, (pw)|r6k|_||49;14 00
adc a, (pw)|r6k_strict|_||49;14 00
adc a, (pw+%d)|r6k|_||49;14 %d
adc a, (pw+%d)|r6k_strict|_||49;14 %d
adc a, (px)|r6k|_||49;15 00
adc a, (px)|r6k_strict|_||49;15 00
adc a, (px+%d)|r6k|_||49;15 %d
adc a, (px+%d)|r6k_strict|_||49;15 %d
adc a, (py)|r6k|_||49;16 00
adc a, (py)|r6k_strict|_||49;16 00
adc a, (py+%d)|r6k|_||49;16 %d
adc a, (py+%d)|r6k_strict|_||49;16 %d
adc a, (pz)|r6k|_||49;17 00
adc a, (pz)|r6k_strict|_||49;17 00
adc a, (pz+%d)|r6k|_||49;17 %d
adc a, (pz+%d)|r6k_strict|_||49;17 %d
adc a, (sp+%n)|r6k|_||49;99 %n
adc a, (sp+%n)|r6k_strict|_||49;99 %n
adc a, (xhl)|kc160|_||40;8E
adc a, (xhl)|kc160_strict|_||40;8E
adc a, (xix)|kc160|_||40;DD 8E 00
adc a, (xix)|kc160_strict|_||40;DD 8E 00
adc a, (xix+%d)|kc160|_||40;DD 8E %d
adc a, (xix+%d)|kc160_strict|_||40;DD 8E %d
adc a, (xiy)|kc160|_||40;FD 8E 00
adc a, (xiy)|kc160_strict|_||40;FD 8E 00
adc a, (xiy+%d)|kc160|_||40;FD 8E %d
adc a, (xiy+%d)|kc160_strict|_||40;FD 8E %d
adc a, (yhl)|kc160|_||49;8E
adc a, (yhl)|kc160_strict|_||49;8E
adc a, (yix)|kc160|_||49;DD 8E 00
adc a, (yix)|kc160_strict|_||49;DD 8E 00
adc a, (yix+%d)|kc160|_||49;DD 8E %d
adc a, (yix+%d)|kc160_strict|_||49;DD 8E %d
adc a, (yiy)|kc160|_||49;FD 8E 00
adc a, (yiy)|kc160_strict|_||49;FD 8E 00
adc a, (yiy+%d)|kc160|_||49;FD 8E %d
adc a, (yiy+%d)|kc160_strict|_||49;FD 8E %d
adc a, (zhl)|kc160|_||7F;8E
adc a, (zhl)|kc160_strict|_||7F;8E
adc a, (zix)|kc160|_||7F;DD 8E 00
adc a, (zix)|kc160_strict|_||7F;DD 8E 00
adc a, (zix+%d)|kc160|_||7F;DD 8E %d
adc a, (zix+%d)|kc160_strict|_||7F;DD 8E %d
adc a, (ziy)|kc160|_||7F;FD 8E 00
adc a, (ziy)|kc160_strict|_||7F;FD 8E 00
adc a, (ziy+%d)|kc160|_||7F;FD 8E %d
adc a, (ziy+%d)|kc160_strict|_||7F;FD 8E %d
adc a, a|8080|_||8F
adc a, a|8085|_||8F
adc a, a|ez80|_||8F
adc a, a|ez80_strict|_||8F
adc a, a|ez80_z80|_||8F
adc a, a|ez80_z80_strict|_||8F
adc a, a|gbz80|_||8F
adc a, a|gbz80_strict|_||8F
adc a, a|kc160|_||8F
adc a, a|kc160_strict|_||8F
adc a, a|kc160_z80|_||8F
