asm|cpu|synth
add de, a|z180|extern __z80asm__add_de_a;call __z80asm__add_de_a
add de, a|z80|extern __z80asm__add_de_a;call __z80asm__add_de_a
add hl, %m|8080|push d;lxi d, %m;dad d;pop d
add hl, %m|8085|push d;lxi d, %m;dad d;pop d
add hl, %m|ez80|push de;ld de, %m;add hl, de;pop de
add hl, %m|ez80_z80|push de;ld de, %m;add hl, de;pop de
add hl, %m|gbz80|push de;ld de, %m;add hl, de;pop de
add hl, %m|kc160|push de;ld de, %m;add hl, de;pop de
add hl, %m|kc160_z80|push de;ld de, %m;add hl, de;pop de
add hl, %m|r2ka|push de;ld de, %m;add hl, de;pop de
add hl, %m|r3k|push de;ld de, %m;add hl, de;pop de
add hl, %m|r4k|push de;ld de, %m;add hl, de;pop de
add hl, %m|r5k|push de;ld de, %m;add hl, de;pop de
add hl, %m|r6k|push de;ld de, %m;add hl, de;pop de
add hl, %m|r800|push de;ld de, %m;add hl, de;pop de
add hl, %m|z180|push de;ld de, %m;add hl, de;pop de
add hl, %m|z80|push de;ld de, %m;add hl, de;pop de
add hl, a|8080|extern __z80asm__add_hl_a;call __z80asm__add_hl_a
add hl, a|8085|extern __z80asm__add_hl_a;call __z80asm__add_hl_a
add hl, a|ez80|extern __z80asm__add_hl_a;call __z80asm__add_hl_a
add hl, a|ez80_z80|extern __z80asm__add_hl_a;call __z80asm__add_hl_a
add hl, a|gbz80|extern __z80asm__add_hl_a;call __z80asm__add_hl_a
add hl, a|kc160|extern __z80asm__add_hl_a;call __z80asm__add_hl_a
add hl, a|kc160_z80|extern __z80asm__add_hl_a;call __z80asm__add_hl_a
add hl, a|r2ka|extern __z80asm__add_hl_a;call __z80asm__add_hl_a
add hl, a|r3k|extern __z80asm__add_hl_a;call __z80asm__add_hl_a
add hl, a|r4k|extern __z80asm__add_hl_a;call __z80asm__add_hl_a
add hl, a|r5k|extern __z80asm__add_hl_a;call __z80asm__add_hl_a
add hl, a|r6k|extern __z80asm__add_hl_a;call __z80asm__add_hl_a
add hl, a|r800|extern __z80asm__add_hl_a;call __z80asm__add_hl_a
add hl, a|z180|extern __z80asm__add_hl_a;call __z80asm__add_hl_a
add hl, a|z80|extern __z80asm__add_hl_a;call __z80asm__add_hl_a
add sp, %d|8080|extern __z80asm__add_sp_d;call __z80asm__add_sp_d;defb %d
add sp, %d|8085|extern __z80asm__add_sp_d;call __z80asm__add_sp_d;defb %d
add sp, %d|ez80|extern __z80asm__add_sp_d;call __z80asm__add_sp_d;defb %d
add sp, %d|ez80_z80|extern __z80asm__add_sp_d;call __z80asm__add_sp_d;defb %d
add sp, %d|kc160|extern __z80asm__add_sp_d;call __z80asm__add_sp_d;defb %d
add sp, %d|kc160_z80|extern __z80asm__add_sp_d;call __z80asm__add_sp_d;defb %d
add sp, %d|r800|extern __z80asm__add_sp_d;call __z80asm__add_sp_d;defb %d
add sp, %d|z180|extern __z80asm__add_sp_d;call __z80asm__add_sp_d;defb %d
add sp, %d|z80|extern __z80asm__add_sp_d;call __z80asm__add_sp_d;defb %d
add sp, %d|z80n|extern __z80asm__add_sp_d;call __z80asm__add_sp_d;defb %d
add.l (hl+)|ez80_z80|add.lis a, (hl);inc.lis hl
add.l (hl-)|ez80_z80|add.lis a, (hl);dec.lis hl
add.l a, (hl+)|ez80_z80|add.lis a, (hl);inc.lis hl
add.l a, (hl-)|ez80_z80|add.lis a, (hl);dec.lis hl
add.lis (hl+)|ez80_z80|add.lis a, (hl);inc.lis hl
add.lis (hl-)|ez80_z80|add.lis a, (hl);dec.lis hl
add.lis a, (hl+)|ez80_z80|add.lis a, (hl);inc.lis hl
add.lis a, (hl-)|ez80_z80|add.lis a, (hl);dec.lis hl
add.s (hl+)|ez80|add.sil a, (hl);inc.sil hl
add.s (hl-)|ez80|add.sil a, (hl);dec.sil hl
add.s a, (hl+)|ez80|add.sil a, (hl);inc.sil hl
add.s a, (hl-)|ez80|add.sil a, (hl);dec.sil hl
add.sil (hl+)|ez80|add.sil a, (hl);inc.sil hl
add.sil (hl-)|ez80|add.sil a, (hl);dec.sil hl
add.sil a, (hl+)|ez80|add.sil a, (hl);inc.sil hl
add.sil a, (hl-)|ez80|add.sil a, (hl);dec.sil hl
adi hl, %n|8080|push h;lxi d, %n;dad d;xchg;pop h
adi hl, %n|ez80|push hl;ld de, %n;add hl, de;ex de, hl;pop hl
adi hl, %n|ez80_z80|push hl;ld de, %n;add hl, de;ex de, hl;pop hl
adi hl, %n|gbz80|push hl;ld de, %n;add hl, de;push hl;push de;pop hl;pop de;pop hl
adi hl, %n|kc160|push hl;ld de, %n;add hl, de;ex de, hl;pop hl
adi hl, %n|kc160_z80|push hl;ld de, %n;add hl, de;ex de, hl;pop hl
adi hl, %n|r2ka|push hl;ld de, %n;add hl, de;ex de, hl;pop hl
adi hl, %n|r3k|push hl;ld de, %n;add hl, de;ex de, hl;pop hl
adi hl, %n|r4k|push hl;ld de, %n;add hl, de;ex de, hl;pop hl
adi hl, %n|r5k|push hl;ld de, %n;add hl, de;ex de, hl;pop hl
adi hl, %n|r6k|push hl;ld de, %n;add hl, de;ex de, hl;pop hl
adi hl, %n|r800|push hl;ld de, %n;add hl, de;ex de, hl;pop hl
adi hl, %n|z180|push hl;ld de, %n;add hl, de;ex de, hl;pop hl
adi hl, %n|z80|push hl;ld de, %n;add hl, de;ex de, hl;pop hl
adi hl, %n|z80n|push hl;ld de, %n;add hl, de;ex de, hl;pop hl
adi sp, %n|8080|xchg;lxi h, %n;dad sp;xchg
adi sp, %n|ez80|ex de, hl;ld hl, %n;add hl, sp;ex de, hl
adi sp, %n|ez80_z80|ex de, hl;ld hl, %n;add hl, sp;ex de, hl
adi sp, %n|gbz80|push hl;push de;pop hl;pop de;ld hl, %n;add hl, sp;push hl;push de;pop hl;pop de
adi sp, %n|kc160|ex de, hl;ld hl, %n;add hl, sp;ex de, hl
adi sp, %n|kc160_z80|ex de, hl;ld hl, %n;add hl, sp;ex de, hl
adi sp, %n|r2ka|ex de, hl;ld hl, %n;add hl, sp;ex de, hl
adi sp, %n|r3k|ex de, hl;ld hl, %n;add hl, sp;ex de, hl
adi sp, %n|r4k|ex de, hl;ld hl, %n;add hl, sp;ex de, hl
adi sp, %n|r5k|ex de, hl;ld hl, %n;add hl, sp;ex de, hl
adi sp, %n|r6k|ex de, hl;ld hl, %n;add hl, sp;ex de, hl
adi sp, %n|r800|ex de, hl;ld hl, %n;add hl, sp;ex de, hl
adi sp, %n|z180|ex de, hl;ld hl, %n;add hl, sp;ex de, hl
adi sp, %n|z80|ex de, hl;ld hl, %n;add hl, sp;ex de, hl
adi sp, %n|z80n|ex de, hl;ld hl, %n;add hl, sp;ex de, hl
altd adc (hl+)|r2ka|altd adc a, (hl);inc hl
altd adc (hl+)|r3k|altd adc a, (hl);inc hl
altd adc (hl+)|r4k|altd adc a, (hl);inc hl
altd adc (hl+)|r5k|altd adc a, (hl);inc hl
altd adc (hl+)|r6k|altd adc a, (hl);inc hl
altd adc (hl-)|r2ka|altd adc a, (hl);dec hl
altd adc (hl-)|r3k|altd adc a, (hl);dec hl
altd adc (hl-)|r4k|altd adc a, (hl);dec hl
altd adc (hl-)|r5k|altd adc a, (hl);dec hl
altd adc (hl-)|r6k|altd adc a, (hl);dec hl
altd adc a, (hl+)|r2ka|altd adc a, (hl);inc hl
altd adc a, (hl+)|r3k|altd adc a, (hl);inc hl
altd adc a, (hl+)|r4k|altd adc a, (hl);inc hl
altd adc a, (hl+)|r5k|altd adc a, (hl);inc hl
altd adc a, (hl+)|r6k|altd adc a, (hl);inc hl
altd adc a, (hl-)|r2ka|altd adc a, (hl);dec hl
altd adc a, (hl-)|r3k|altd adc a, (hl);dec hl
altd adc a, (hl-)|r4k|altd adc a, (hl);dec hl
altd adc a, (hl-)|r5k|altd adc a, (hl);dec hl
altd adc a, (hl-)|r6k|altd adc a, (hl);dec hl
altd add (hl+)|r2ka|altd add a, (hl);inc hl
altd add (hl+)|r3k|altd add a, (hl);inc hl
altd add (hl+)|r4k|altd add a, (hl);inc hl
altd add (hl+)|r5k|altd add a, (hl);inc hl
altd add (hl+)|r6k|altd add a, (hl);inc hl
altd add (hl-)|r2ka|altd add a, (hl);dec hl
altd add (hl-)|r3k|altd add a, (hl);dec hl
altd add (hl-)|r4k|altd add a, (hl);dec hl
altd add (hl-)|r5k|altd add a, (hl);dec hl
altd add (hl-)|r6k|altd add a, (hl);dec hl
altd add a, (hl+)|r2ka|altd add a, (hl);inc hl
altd add a, (hl+)|r3k|altd add a, (hl);inc hl
altd add a, (hl+)|r4k|altd add a, (hl);inc hl
altd add a, (hl+)|r5k|altd add a, (hl);inc hl
altd add a, (hl+)|r6k|altd add a, (hl);inc hl
altd add a, (hl-)|r2ka|altd add a, (hl);dec hl
altd add a, (hl-)|r3k|altd add a, (hl);dec hl
altd add a, (hl-)|r4k|altd add a, (hl);dec hl
altd add a, (hl-)|r5k|altd add a, (hl);dec hl
altd add a, (hl-)|r6k|altd add a, (hl);dec hl
altd and (hl+)|r2ka|altd and (hl);inc hl
altd and (hl+)|r3k|altd and (hl);inc hl
altd and (hl+)|r4k|altd and (hl);inc hl
altd and (hl+)|r5k|altd and (hl);inc hl
altd and (hl+)|r6k|altd and (hl);inc hl
altd and (hl-)|r2ka|altd and (hl);dec hl
altd and (hl-)|r3k|altd and (hl);dec hl
altd and (hl-)|r4k|altd and (hl);dec hl
altd and (hl-)|r5k|altd and (hl);dec hl
altd and (hl-)|r6k|altd and (hl);dec hl
altd and a, (hl+)|r2ka|altd and (hl);inc hl
altd and a, (hl+)|r3k|altd and (hl);inc hl
altd and a, (hl+)|r4k|altd and (hl);inc hl
altd and a, (hl+)|r5k|altd and (hl);inc hl
altd and a, (hl+)|r6k|altd and (hl);inc hl
altd and a, (hl-)|r2ka|altd and (hl);dec hl
altd and a, (hl-)|r3k|altd and (hl);dec hl
altd and a, (hl-)|r4k|altd and (hl);dec hl
altd and a, (hl-)|r5k|altd and (hl);dec hl
altd and a, (hl-)|r6k|altd and (hl);dec hl
altd clr a|r2ka|altd ld a, 0
altd clr a|r3k|altd ld a, 0
altd clr a|r4k|altd ld a, 0
altd clr a|r5k|altd ld a, 0
altd clr a|r6k|altd ld a, 0
altd clr b|r2ka|altd ld b, 0
altd clr b|r3k|altd ld b, 0
altd clr b|r4k|altd ld b, 0
altd clr b|r5k|altd ld b, 0
altd clr b|r6k|altd ld b, 0
altd clr bc|r2ka|altd ld bc, 0
altd clr bc|r3k|altd ld bc, 0
altd clr bc|r4k|altd ld bc, 0
altd clr bc|r5k|altd ld bc, 0
altd clr bc|r6k|altd ld bc, 0
altd clr c|r2ka|altd ld c, 0
altd clr c|r3k|altd ld c, 0
altd clr c|r4k|altd ld c, 0
altd clr c|r5k|altd ld c, 0
altd clr c|r6k|altd ld c, 0
altd clr d|r2ka|altd ld d, 0
altd clr d|r3k|altd ld d, 0
altd clr d|r4k|altd ld d, 0
altd clr d|r5k|altd ld d, 0
altd clr d|r6k|altd ld d, 0
altd clr de|r2ka|altd ld de, 0
altd clr de|r3k|altd ld de, 0
altd clr de|r4k|altd ld de, 0
altd clr de|r5k|altd ld de, 0
altd clr de|r6k|altd ld de, 0
altd clr e|r2ka|altd ld e, 0
altd clr e|r3k|altd ld e, 0
altd clr e|r4k|altd ld e, 0
altd clr e|r5k|altd ld e, 0
altd clr e|r6k|altd ld e, 0
altd clr h|r2ka|altd ld h, 0
altd clr h|r3k|altd ld h, 0
altd clr h|r4k|altd ld h, 0
altd clr h|r5k|altd ld h, 0
altd clr h|r6k|altd ld h, 0
altd clr hl|r2ka|altd ld hl, 0
altd clr hl|r3k|altd ld hl, 0
altd clr l|r2ka|altd ld l, 0
altd clr l|r3k|altd ld l, 0
altd clr l|r4k|altd ld l, 0
altd clr l|r5k|altd ld l, 0
altd clr l|r6k|altd ld l, 0
altd cmp (hl+)|r2ka|altd cp (hl);inc hl
altd cmp (hl+)|r3k|altd cp (hl);inc hl
altd cmp (hl+)|r4k|altd cp (hl);inc hl
altd cmp (hl+)|r5k|altd cp (hl);inc hl
altd cmp (hl+)|r6k|altd cp (hl);inc hl
altd cmp (hl-)|r2ka|altd cp (hl);dec hl
altd cmp (hl-)|r3k|altd cp (hl);dec hl
altd cmp (hl-)|r4k|altd cp (hl);dec hl
altd cmp (hl-)|r5k|altd cp (hl);dec hl
altd cmp (hl-)|r6k|altd cp (hl);dec hl
altd cmp a, (hl+)|r2ka|altd cp (hl);inc hl
altd cmp a, (hl+)|r3k|altd cp (hl);inc hl
altd cmp a, (hl+)|r4k|altd cp (hl);inc hl
altd cmp a, (hl+)|r5k|altd cp (hl);inc hl
altd cmp a, (hl+)|r6k|altd cp (hl);inc hl
altd cmp a, (hl-)|r2ka|altd cp (hl);dec hl
altd cmp a, (hl-)|r3k|altd cp (hl);dec hl
altd cmp a, (hl-)|r4k|altd cp (hl);dec hl
altd cmp a, (hl-)|r5k|altd cp (hl);dec hl
altd cmp a, (hl-)|r6k|altd cp (hl);dec hl
altd cp (hl+)|r2ka|altd cp (hl);inc hl
altd cp (hl+)|r3k|altd cp (hl);inc hl
altd cp (hl+)|r4k|altd cp (hl);inc hl
altd cp (hl+)|r5k|altd cp (hl);inc hl
altd cp (hl+)|r6k|altd cp (hl);inc hl
altd cp (hl-)|r2ka|altd cp (hl);dec hl
altd cp (hl-)|r3k|altd cp (hl);dec hl
